COSEWIC common name,COSEWIC population,COSEWIC status,COSEWIC last assessment date,Scientific name,Legal common name,Legal population,Schedule status,Last status change,SARA schedule,Date added,Range,Taxonomic group,Under consideration for,GIC decision
Black-footed Ferret,,Extirpated,2021-12-01,Mustela nigripes,Black-footed Ferret,,Extirpated,2003-06-05,Schedule 1,2003-06-05,"Alberta, Saskatchewan",Mammals (terrestrial),,Added to list
Black-tailed Prairie Dog,,Threatened,2011-11-25,Cynomys ludovicianus,Black-tailed Prairie Dog,,Threatened,2018-02-02,Schedule 1,2003-06-05,Saskatchewan,Mammals (terrestrial),,Uplisted: Special Concern to threatened
Blackchin Shiner,,Not at Risk,1994-04-01,Notropis heterodon,,,No Status,,No schedule,,"Manitoba, Ontario, Quebec",Fishes (freshwater),,
Blackfin Cisco,,Data Deficient,2007-04-22,Coregonus nigripinnis,Blackfin Cisco,,,,,,Ontario,Fishes (freshwater),,
Blackline Prickleback,,Data Deficient,2003-05-01,Acantholumpenus mackayi,Blackline Prickleback,,,,,,Arctic Ocean,Fishes (marine),,
Blackstripe Topminnow,,Special Concern,2012-05-04,Fundulus notatus,Blackstripe Topminnow,,Special Concern,2003-06-05,Schedule 1,2003-06-05,Ontario,Fishes (freshwater),,Added to list
Blainville's Beaked Whale,,Not at Risk,1989-04-01,Mesoplodon densirostris,,,No Status,,No schedule,,Atlantic Ocean,Mammals (marine),,
Blanchard's Cricket Frog,,Extirpated,2024-05-09,Acris blanchardi,Blanchard's Cricket Frog,,Endangered,,Schedule 1,2003-06-05,Ontario,Amphibians,Status change,Pending
Blanding's Turtle,Great Lakes / St. Lawrence population,Endangered,2016-11-27,Emydoidea blandingii,Blanding's Turtle,Great Lakes / St. Lawrence population,Endangered,2021-08-12,Schedule 1,2006-08-15,"Ontario, Quebec",Reptiles,,Uplisted: Threatened to endangered
Blanding's Turtle,Nova Scotia population,Endangered,2016-11-27,Emydoidea blandingii,Blanding's Turtle,Nova Scotia population,Endangered,2006-08-15,Schedule 1,2006-08-15,Nova Scotia,Reptiles,,Added to list
Blanket-leaved Willow,,Special Concern,2018-04-27,Salix silicicola,Blanket-leaved Willow,,Special Concern,2003-06-05,Schedule 1,2003-06-05,Saskatchewan,Vascular Plants,,Added to list
Bloater,,Not at Risk,1988-04-01,Coregonus hoyi,,,No Status,,No schedule,,Ontario,Fishes (freshwater),,
Blue Ash,,Threatened,2014-11-28,Fraxinus quadrangulata,Blue Ash,,Threatened,2023-02-03,Schedule 1,2003-06-05,Ontario,Vascular Plants,,Uplisted: Special Concern to threatened
Blue Felt Lichen,,Special Concern,2010-11-26,Degelia plumbea,Blue Felt Lichen,,Special Concern,2017-06-02,Schedule 1,2017-06-02,"New Brunswick, Newfoundland and Labrador, Nova Scotia",Lichens,,Added to list
Blue Phlox,,Not at Risk,1996-04-01,Phlox alyssifolia,,,No Status,,No schedule,,"Alberta, Saskatchewan",Vascular Plants,,
Blue Racer,,Endangered,2012-05-04,Coluber constrictor foxii,Blue Racer,,Endangered,2005-01-12,Schedule 1,2005-01-12,Ontario,Reptiles,,Added to list
Blue Shark,North Atlantic population,Not at Risk,2016-11-27,Prionace glauca,Blue Shark,North Atlantic population,No Status,,No schedule,,"Atlantic Ocean, New Brunswick, Newfoundland and Labrador, Nova Scotia, Prince Edward Island, Quebec",Fishes (marine),,
Blue Shark,North Pacific population,Not at Risk,2016-11-27,Prionace glauca,,,No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),,
Blue Walleye,,Extinct,2000-05-01,Sander vitreus glaucus,,,No Status,,No schedule,,Ontario,Fishes (freshwater),,
Blue Whale,,Non-active,2002-05-01,Balaenoptera musculus,Blue Whale,,,,,,"Atlantic Ocean, Pacific Ocean",Mammals (marine),,
Blue Whale,Atlantic population,Endangered,2012-05-04,Balaenoptera musculus,Blue Whale,Atlantic population,Endangered,2005-01-12,Schedule 1,2005-01-12,Atlantic Ocean,Mammals (marine),,Added to list
Blue Whale,Pacific population,Endangered,2012-05-04,Balaenoptera musculus,Blue Whale,Pacific population,Endangered,2005-01-12,Schedule 1,2005-01-12,Pacific Ocean,Mammals (marine),,Added to list
Blue-grey Taildropper,,Threatened,2016-04-29,Prophysaon coeruleum,Blue-grey Taildropper,,Threatened,2019-02-25,Schedule 1,2007-12-13,British Columbia,Molluscs,,Downlisted: Endangered to threatened
Blueback Herring,,Not at Risk,1980-04-01,Alosa aestivalis,,,No Status,,No schedule,,"Atlantic Ocean, New Brunswick, Nova Scotia",Fishes (marine),,
Bluehearts,,Endangered,2011-11-25,Buchnera americana,Bluehearts,,Endangered,2003-06-05,Schedule 1,2003-06-05,Ontario,Vascular Plants,,Added to list
Blunt-lobed Woodsia,,Threatened,2007-04-22,Woodsia obtusa,Blunt-lobed Woodsia,,Threatened,2009-03-05,Schedule 1,2003-06-05,"Ontario, Quebec",Vascular Plants,,Downlisted: Endangered to threatened
Bluntnose Minnow,,Not at Risk,1998-04-01,Pimephales notatus,,,No Status,,No schedule,,"Manitoba, Ontario, Quebec",Fishes (freshwater),,
Bluntnose Sixgill Shark,,Special Concern,2007-04-22,Hexanchus griseus,Bluntnose Sixgill Shark,,Special Concern,2009-03-05,Schedule 1,2009-03-05,Pacific Ocean,Fishes (marine),,Added to list
Bobolink,,Special Concern,2022-05-11,Dolichonyx oryzivorus,Bobolink,,Threatened,,Schedule 1,2017-11-02,"Alberta, British Columbia, Manitoba, New Brunswick, Newfoundland and Labrador, Nova Scotia, Ontario, Prince Edward Island, Quebec, Saskatchewan",Birds,Status change,Pending
Bocaccio,,Endangered,2013-11-01,Sebastes paucispinis,Bocaccio,,No Status,,No schedule,,Pacific Ocean,Fishes (marine),Addition,Pending
Bog Bird’s-foot Trefoil,,Endangered,2004-05-01,Lotus pinnatus,Bog Bird’s-foot Trefoil,,Endangered,2005-07-14,Schedule 1,2005-07-14,British Columbia,Vascular Plants,,Added to list
Bogbean Buckmoth,,Endangered,2009-11-27,Hemileuca sp.,Bogbean Buckmoth,,Endangered,2012-06-20,Schedule 1,2012-06-20,Ontario,Arthropods,,Added to list
Bolander's Quillwort,,Threatened,2006-04-29,Isoetes bolanderi,Bolander's Quillwort,,Threatened,2007-12-13,Schedule 1,2007-12-13,Alberta,Vascular Plants,,Added to list
Boreal Felt Lichen,Atlantic population,Endangered,2014-11-28,Erioderma pedicellatum,Boreal Felt Lichen,Atlantic population,Endangered,2005-01-12,Schedule 1,2005-01-12,"New Brunswick, Nova Scotia",Lichens,,Added to list
Boreal Felt Lichen,Boreal population,Special Concern,2014-11-28,Erioderma pedicellatum,Boreal Felt Lichen,Boreal population,Special Concern,2005-01-12,Schedule 1,2005-01-12,Newfoundland and Labrador,Lichens,,Added to list
Boreal Owl,,Not at Risk,1995-04-01,Aegolius funereus,,,No Status,,No schedule,,"Alberta, British Columbia, Manitoba, New Brunswick, Newfoundland and Labrador, Northwest Territories, Nova Scotia, Nunavut, Ontario, Prince Edward Island, Quebec, Saskatchewan, Yukon",Birds,,
Bowhead Whale,Bering-Chukchi-Beaufort population,Special Concern,2009-04-26,Balaena mysticetus,Bowhead Whale,Bering-Chukchi-Beaufort population,Special Concern,2007-12-13,Schedule 1,2007-12-13,Arctic Ocean,Mammals (marine),,Added to list
Bowhead Whale,Davis Strait-Baffin Bay population,Non-active,2009-04-26,Balaena mysticetus,Bowhead Whale,Davis Strait-Baffin Bay population,No Status,,No schedule,,Arctic Ocean,Mammals (marine),,
Bowhead Whale,Eastern and Western Arctic populations,Non-active,1986-04-01,Balaena mysticetus,Bowhead Whale,Eastern and Western Arctic populations,,,No schedule,,Arctic Ocean,Mammals (marine),,
Bowhead Whale,Eastern Arctic population,Non-active,2005-05-05,Balaena mysticetus,Bowhead Whale,Eastern Arctic population,,,,,Arctic Ocean,Mammals (marine),,
Bowhead Whale,Eastern Canada-West Greenland population,Special Concern,2009-04-26,Balaena mysticetus,Bowhead Whale,Eastern Canada-West Greenland population,No Status,,No schedule,,Arctic Ocean,Mammals (marine),Addition,Pending
Bowhead Whale,Hudson Bay-Foxe Basin population,Non-active,2009-04-26,Balaena mysticetus,Bowhead Whale,Hudson Bay-Foxe Basin population,No Status,,No schedule,,Arctic Ocean,Mammals (marine),,
Branched Bartonia,,Threatened,2003-11-01,Bartonia paniculata ssp. paniculata,Branched Bartonia,,Threatened,2005-07-14,Schedule 1,2005-07-14,Ontario,Vascular Plants,,Added to list
Branched Phacelia,,Endangered,2005-05-05,Phacelia ramosissima,Branched Phacelia,,Endangered,2006-08-15,Schedule 1,2006-08-15,British Columbia,Vascular Plants,,Added to list
Brassy Minnow,Missouri population,Special Concern,2022-05-11,Hybognathus hankinsoni,Brassy Minnow,Missouri population,No Status,,No schedule,,"Alberta, Saskatchewan",Fishes (freshwater),Addition,Pending
Brassy Minnow,Pacific population,Special Concern,2022-05-11,Hybognathus hankinsoni,Brassy Minnow,Pacific population,No Status,,No schedule,,British Columbia,Fishes (freshwater),Addition,Pending
Brassy Minnow,Western Arctic population,Special Concern,2022-05-11,Hybognathus hankinsoni,Brassy Minnow,Western Arctic population,No Status,,No schedule,,"Alberta, British Columbia",Fishes (freshwater),Addition,Pending
Bridle Shiner,,Special Concern,2013-05-03,Notropis bifrenatus,Bridle Shiner,,Special Concern,2003-06-05,Schedule 1,2003-06-05,"Ontario, Quebec",Fishes (freshwater),,Added to list
Brindled Madtom,,Not at Risk,2001-05-01,Noturus miurus,,,No Status,,No schedule,,Ontario,Fishes (freshwater),,
Broad Beech Fern,,Special Concern,1983-04-01,Phegopteris hexagonoptera,Broad Beech Fern,,,,,,"Ontario, Quebec",Vascular Plants,,
Broad-banded Forestsnail,,Endangered,2014-11-28,Allogona profunda,Broad-banded Forestsnail,,Endangered,2019-02-25,Schedule 1,2019-02-25,Ontario,Molluscs,,Added to list
Brook Floater,,Special Concern,2022-12-03,Alasmidonta varicosa,Brook Floater,,Special Concern,2013-03-08,Schedule 1,2013-03-08,"New Brunswick, Nova Scotia",Molluscs,,Added to list
Brook Silverside,,Not at Risk,1989-04-01,Labidesthes sicculus,,,No Status,,No schedule,,"Ontario, Quebec",Fishes (freshwater),,
Brook Spike-primrose,,Endangered,2018-11-01,Epilobium torreyi,Brook Spike-primrose,,Endangered,2007-12-13,Schedule 1,2007-12-13,British Columbia,Vascular Plants,,Added to list
Brown Cat Shark,,Data Deficient,2007-04-22,Apristurus brunneus,,,No Status,,No schedule,,Pacific Ocean,Fishes (marine),,
Buff-breasted Sandpiper,,Special Concern,2012-05-04,Tryngites subruficollis,Buff-breasted Sandpiper,,Special Concern,2017-02-03,Schedule 1,2017-02-03,"Alberta, British Columbia, Manitoba, Northwest Territories, Nunavut, Ontario, Quebec, Saskatchewan, Yukon",Birds,,Added to list
Buffalograss,,Special Concern,2011-11-25,Bouteloua dactyloides,Buffalograss,,Special Concern,2017-02-03,Schedule 1,2003-06-05,"Manitoba, Saskatchewan",Vascular Plants,,Downlisted: Threatened to special concern
Bull Trout,Pacific populations,Not at Risk,2012-11-25,Salvelinus confluentus,,,No Status,,No schedule,,British Columbia,Fishes (freshwater),,
Bull Trout,Saskatchewan - Nelson Rivers populations,Threatened,2012-11-25,Salvelinus confluentus,Bull Trout,Saskatchewan - Nelson Rivers populations,Threatened,2019-08-08,Schedule 1,2019-08-08,Alberta,Fishes (freshwater),,Added to list
Bull Trout,South Coast British Columbia populations,Special Concern,2012-11-25,Salvelinus confluentus,Bull Trout,South Coast British Columbia populations,Special Concern,2019-08-08,Schedule 1,2019-08-08,British Columbia,Fishes (freshwater),,Added to list
Bull Trout,Upper Yukon Watershed populations,Data Deficient,2012-11-25,Salvelinus confluentus,,,No Status,,No schedule,,"British Columbia, Yukon",Fishes (freshwater),,
Bull Trout,Western Arctic populations,Special Concern,2012-11-25,Salvelinus confluentus,Bull Trout,Western Arctic populations,Special Concern,2019-08-08,Schedule 1,2019-08-08,"Alberta, British Columbia, Northwest Territories, Yukon",Fishes (freshwater),,Added to list
Bullsnake,,Special Concern,2017-04-28,Pituophis catenifer sayi,Bullsnake,,Special Concern,2021-08-12,Schedule 1,2021-08-12,"Alberta, Saskatchewan",Reptiles,,Added to list
Burrowing Owl,,Endangered,2017-04-28,Athene cunicularia,Burrowing Owl,,Endangered,2003-06-05,Schedule 1,2003-06-05,"Alberta, British Columbia, Manitoba, Saskatchewan",Birds,,Added to list
Butler's Gartersnake,,Endangered,2010-11-26,Thamnophis butleri,Butler's Gartersnake,,Endangered,2017-06-02,Schedule 1,2003-06-05,Ontario,Reptiles,,Uplisted: Threatened to endangered
Butternut,,Endangered,2017-04-28,Juglans cinerea,Butternut,,Endangered,2005-07-14,Schedule 1,2005-07-14,"New Brunswick, Ontario, Quebec",Vascular Plants,,Added to list
California Buttercup,,Endangered,2008-11-28,Ranunculus californicus,California Buttercup,,Endangered,2011-02-04,Schedule 1,2011-02-04,British Columbia,Vascular Plants,,Added to list
California Sea Lion,,Not at Risk,1987-04-01,Zalophus californianus,,,No Status,,No schedule,,"British Columbia, Pacific Ocean",Mammals (marine),,
California Sword Fern,,Endangered,2023-05-05,Polystichum californicum,California Sword Fern,,No Status,,No schedule,,British Columbia,Vascular Plants,Addition,Pending
Canada Lynx,,Not at Risk,2001-05-01,Lynx canadensis,,,No Status,,No schedule,,"Alberta, British Columbia, Manitoba, New Brunswick, Newfoundland and Labrador, Northwest Territories, Nova Scotia, Nunavut, Ontario, Quebec, Saskatchewan, Yukon",Mammals (terrestrial),,
Canada Warbler,,Special Concern,2020-11-04,Cardellina canadensis,Canada Warbler,,Threatened,,Schedule 1,2010-02-23,"Alberta, British Columbia, Manitoba, New Brunswick, Northwest Territories, Nova Scotia, Ontario, Prince Edward Island, Quebec, Saskatchewan, Yukon",Birds,Status change,Pending
Canadian Toad,,Not at Risk,2003-05-01,Bufo hemiophrys,,,No Status,,No schedule,,"Alberta, Manitoba, Northwest Territories, Saskatchewan",Amphibians,,
Canary Rockfish,,Threatened,2007-11-30,Sebastes pinniger,Canary Rockfish,,No Status,2011-06-23,No schedule,,Pacific Ocean,Fishes (marine),,Not to list
Canyon Wren,,Not at Risk,1992-04-01,Catherpes mexicanus,,,No Status,,No schedule,,British Columbia,Birds,,
Carey’s Small Limestone Moss,,Endangered,2019-05-03,Seligeria careyana,Carey’s Small Limestone Moss,,Endangered,2023-02-03,Schedule 1,2023-02-03,British Columbia,Mosses,,Added to list
Caribou,Atlantic-Gaspésie population,Endangered,2014-11-28,Rangifer tarandus,Caribou,Atlantic-Gaspésie population,Endangered,2003-06-05,Schedule 1,2003-06-05,Quebec,Mammals (terrestrial),,Added to list
Caribou,Barren-ground population,Threatened,2016-11-27,Rangifer tarandus,Caribou,Barren-ground population,No Status,,No schedule,,"Alberta, Manitoba, Northwest Territories, Nunavut, Saskatchewan, Yukon",Mammals (terrestrial),Addition,Pending
Caribou,Boreal population,Threatened,2014-11-28,Rangifer tarandus,Caribou,Boreal population,Threatened,2003-06-05,Schedule 1,2003-06-05,"Alberta, British Columbia, Manitoba, Newfoundland and Labrador, Northwest Territories, Ontario, Quebec, Saskatchewan, Yukon",Mammals (terrestrial),,Added to list
Caribou,Central Mountain population,Endangered,2014-05-02,Rangifer tarandus,Caribou,Central Mountain population,No Status,2022-02-03,No schedule,,"Alberta, British Columbia",Mammals (terrestrial),,Refer back
Caribou dawsoni subspecies,,Extinct,2000-05-01,Rangifer tarandus dawsoni,,,No Status,,No schedule,,British Columbia,Mammals (terrestrial),,
Caribou,Eastern Migratory population,Endangered,2017-04-28,Rangifer tarandus,Caribou,Eastern Migratory population,No Status,,No schedule,,"Manitoba, Newfoundland and Labrador, Ontario, Quebec",Mammals (terrestrial),Addition,Pending
Caribou,Newfoundland population,Special Concern,2014-11-28,Rangifer tarandus,Caribou,Newfoundland population,Special Concern,2021-08-12,Schedule 1,2021-08-12,Newfoundland and Labrador,Mammals (terrestrial),,Added to list
Caribou,Northern Mountain population,Special Concern,2014-05-02,Rangifer tarandus,Caribou,Northern Mountain population,No Status,2022-02-03,No schedule,,"British Columbia, Northwest Territories, Yukon",Mammals (terrestrial),,Refer back
Caribou,Southern Mountain population,Endangered,2014-05-02,Rangifer tarandus,Caribou,Southern Mountain population,No Status,2022-02-03,No schedule,,British Columbia,Mammals (terrestrial),,Refer back
Caribou,Torngat Mountains population,Endangered,2016-11-27,Rangifer tarandus,Caribou,Torngat Mountains population,No Status,,No schedule,,"Newfoundland and Labrador, Nunavut, Quebec",Mammals (terrestrial),Addition,Pending
Carmine Shiner,,Endangered,2018-04-27,Notropis percobromus,Carmine Shiner,,Endangered,2020-10-06,Schedule 1,2003-06-05,Manitoba,Fishes (freshwater),,Uplisted: Threatened to endangered
Carolina Mantleslug,,Threatened,2019-11-29,Philomycus carolinianus,Carolina Mantleslug,,Threatened,2024-06-10,Schedule 1,2024-06-10,Ontario,Molluscs,,Added to list
Cascade Mantled Ground Squirrel,,Not at Risk,1992-04-01,Spermophilus saturatus,,,No Status,,No schedule,,British Columbia,Mammals (terrestrial),,
Caspian Tern,,Not at Risk,1999-04-01,Sterna caspia,,,No Status,,No schedule,,"Alberta, British Columbia, Manitoba, Newfoundland and Labrador, Northwest Territories, Ontario, Quebec, Saskatchewan",Birds,,
Cassin's Auklet,,Special Concern,2014-11-28,Ptychoramphus aleuticus,Cassin's Auklet,,Special Concern,2019-05-22,Schedule 1,2019-05-22,"British Columbia, Pacific Ocean",Birds,,Added to list
Central Stoneroller,,Not at Risk,1998-04-01,Campostoma anomalum,,,No Status,,No schedule,,Ontario,Fishes (freshwater),,
Cerulean Warbler,,Endangered,2010-11-26,Setophaga cerulea,Cerulean Warbler,,Endangered,2017-11-02,Schedule 1,2005-01-12,"Ontario, Quebec",Birds,,Uplisted: Special Concern to endangered
Chain Pickerel,,Not at Risk,1997-04-01,Esox niger,,,No Status,,No schedule,,"New Brunswick, Nova Scotia, Quebec",Fishes (freshwater),,
Channel Darter,,Non-active,2016-11-27,Percina copelandi,Channel Darter,,No Status,2019-08-08,No schedule,2006-04-06,"Ontario, Quebec",Fishes (freshwater),,Struck - WS reassignment
Channel Darter,Lake Erie populations,Endangered,2016-11-27,Percina copelandi,Channel Darter,Lake Erie populations,Endangered,2019-08-08,Schedule 1,2006-04-06,Ontario,Fishes (freshwater),,Uplisted: Threatened to endangered
Channel Darter,Lake Ontario populations,Endangered,2016-11-27,Percina copelandi,Channel Darter,Lake Ontario populations,Endangered,2019-08-08,Schedule 1,2006-04-06,Ontario,Fishes (freshwater),,Uplisted: Threatened to endangered
Channel Darter,St. Lawrence populations,Special Concern,2016-11-27,Percina copelandi,Channel Darter,St. Lawrence populations,Special Concern,2019-08-08,Schedule 1,2006-04-06,"Ontario, Quebec",Fishes (freshwater),,Downlisted: Threatened to special concern
